id,addr,place,class,type,call,lat,lng
44,서울특별시 종로구 종로1가 82-2,종로1가 버스정류장(01-011) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
45,서울특별시 종로구 종로1가 82-2,종로1가 버스정류장(01-011) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
46,서울특별시 종로구 종로1길 50,더 케이트윈타워 대로변앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
47,서울특별시 종로구 종로1길 50,더 케이트윈타워 대로변앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
48,서울특별시 종로구 종로 5길 103,세븐일레븐 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
49,서울특별시 종로구 종로 103,세븐일레븐 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
50,서울특별시 종로구 종로 44길 80,수족관거리 시스페이스 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
51,서울특별시 종로구 종로 44길 81,수족관거리 시스페이스 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
52,서울특별시 종로구 종로2가 15-1,종로2가 버스정류장(01-014) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
53,서울특별시 종로구 종로2가 15-2,종로2가 버스정류장(01-014) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
54,서울특별시 종로구 종로 104,YBM 종로3가 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
55,서울특별시 종로구 종로 104,YBM 종로4가 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
56,서울특별시 종로구 종로 51 ,종각교차로 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
57,서울특별시 종로구 종로2가 15-1,종로2가 버스정류장(01-015) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
58,서울특별시 종로구 종로2가 15-1,종로2가 버스정류장(01-015) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
59,서울특별시 종로구 종로 73,CU 종각쇼핑센터 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
60,서울특별시 종로구 종로 74,영안빌딩 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
61,서울특별시 종로구 종로 83,귀금속 도매상가 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
62,서울특별시 종로구 종로 83,귀금속 도매상가 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
63,서울특별시 종로구 인사동길 1,남인사마당 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
64,서울특별시 종로구 인사동길 1 ,남인사마당 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
65,서울특별시 종로구 율곡로 46 ,종로경찰서 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
66,서울특별시 종로구 율곡로 46,종로경찰서 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
67,서울특별시 종로구 삼일대로 467,서울노인복지센터 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
68,서울특별시 종로구 삼일대로 467,서울노인복지센터 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
69,서울특별시 종로구 종로1가 1-3,광화문 버스정류소(01-010) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
70,서울특별시 종로구 종로1가 1-3,광화문 버스정류소(01-010) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
71,서울특별시 종로구 세종대로 178 , KT광화문지사 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
72,서울특별시 종로구 세종대로 178 , KT광화문지사 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
73,서울특별시 종로구 종로1길 42-1,세븐일레븐 세종로점 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
74,서울특별시 종로구 종로1길 42,이마빌딩 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
75,서울특별시 종로구 종로1길 42,이마빌딩 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
76,서울특별시 종로구 세종대로 175 세종문화회관,세종문화회관 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
77,서울특별시 종로구 세종대로 175 세종문화회관,세종문화회관 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
78,서울특별시 종로구 새문안로 5길 ,광화문역 5번출구 지하철역 입구,가로쓰레기통,일반쓰레기,,,
79,서울특별시 종로구 새문안로 5길,광화문역 5번출구 지하철역 입구,가로쓰레기통,재활용쓰레기,,,
80,서울특별시 종로구 새문안로 103-1,삼원온누리약국  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
81,서울특별시 종로구 새문안로 103-1,삼원온누리약국  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
82,서울특별시 종로구 새문안로 55,서울역사박물관 버스정류장(01-008) 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
83,서울특별시 종로구 새문안로 56,서울역사박물관 버스정류장(01-007) 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
84,서울특별시 종로구 통일로 134,디타워 돈의문 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
85,서울특별시 종로구 통일로 134,디타워 돈의문 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
86,서울특별시 종로구 새문안로 3길,경복궁역 7번출구 지하철역 입구,가로쓰레기통,일반쓰레기,,,
87,서울특별시 종로구 새문안로 3길,경복궁역 7번출구 지하철역 입구,가로쓰레기통,재활용쓰레기,,,
88,서울특별시 종로구 수송동 80-7 ,보성사 터 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
89,서울특별시 종로구 수송동 80-7 ,보성사 터 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
90,서울특별시 종로구 종로 1,교보생명 빌딩 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
91,서울특별시 종로구 종로 1,교보생명 빌딩 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
92,서울특별시 종로구 청계천로 35,이마트24 청계천점 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
93,서울특별시 종로구 종로2가 34-2,탑골공원 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
94,서울특별시 종로구 종로2가 34-2,탑골공원 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
95,서울특별시 종로구 종로 113,오복플란트치과의원 건물 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
96,서울특별시 종로구 종로 113,오복플란트치과의원 건물 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
97,서울특별시 종로구 종로 94,버거킹 종로점 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
98,서울특별시 종로구 종로 94,버거킹 종로점 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
99,서울특별시 종로구 종로 104,올리브영 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
100,서울특별시 종로구 종로 104,올리브영 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
101,서울특별시 종로구 종로 160-3,다시세운상가 대로변 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
102,서울특별시 종로구 종로 160-3,다시세운상가 대로변 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
103,서울특별시 종로구 종로 지하 129,1호선 종로3가역 2번출구 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
104,서울특별시 종로구 종로 지하 130,1호선 종로3가역 2번출구 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
105,서울특별시 종로구 돈화문로 89,제이미파커스 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
106,서울특별시 종로구 돈화문로 89,제이미파커스 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
107,서울특별시 종로구 율곡로3길 4 ,서울공예박물관 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
108,서울특별시 종로구 율곡로3길 4 ,서울공예박물관 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
109,서울특별시 종로구 운니동 98-7,종로웨니스센터 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
110,서울특별시 종로구 운니동 98-7,종로웨니스센터 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
111,서울특별시 종로구 율곡로 78,안국역 2번출구 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
112,서울특별시 종로구 율곡로 78,안국역 2번출구 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
113,서울특별시 종로구 북촌로4길 7,재동초등학교 입구  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
114,서울특별시 종로구 북촌로4길 7,재동초등학교 입구  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
115,서울특별시 종로구 북촌로 51,에비뉴 골목  상가지역,가로쓰레기통,일반쓰레기,,,
116,서울특별시 종로구 북촌로 51,에비뉴 골목  상가지역,가로쓰레기통,재활용쓰레기,,,
117,서울특별시 종로구 북촌로 35 ,가회동 주민센터 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
118,서울특별시 종로구 북촌로 35 ,가회동 주민센터 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
119,서울특별시 종로구 북촌로5가길 3,아원갤러리 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
120,서울특별시 종로구 북촌로5가길 3,아원갤러리 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
121,서울특별시 종로구 삼청로 68 삼청파출소,삼청파출소 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
122,서울특별시 종로구 삼청로 68 삼청파출소,삼청파출소 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
123,서울특별시 종로구 삼청로 99-1,삼청새마을금고 본점  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
124,서울특별시 종로구 삼청로 99-1,삼청새마을금고 본점  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
