id,addr,lat,lng,place,class,type,call_number
582,서울 용산구 용산동1가 8-65,37.534788975922,126.977411512646,전쟁기념관(용산보건분소방면) 버스정류장(03-184) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
583,서울 용산구 용산동1가 8-65,37.534788975922,126.977411512646,전쟁기념관(용산보건분소방면) 버스정류장(03-184)  정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,
584,서울 용산구 용산동2가 6-6,37.5350199674922,126.984524145026,녹사평역 1번출구앞 버스정류장(03-186)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
585,서울 용산구 용산동2가 6-6,37.5350199674922,126.984524145026,녹사평역 1번출구앞 버스정류장(03-186)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
586,서울 용산구 용산동4가 4,37.5344455261396,126.985524548735,녹사평역 4번 출구 앞 버스정류장(03-187)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
587,서울 용산구 용산동4가 4,37.5344455261396,126.985524548735,녹사평역 4번 출구 앞 버스정류장(03-187)  정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,
588,서울 용산구 한강로3가 40-999,37.5297680649234,126.964300393659,용산역 버스정류장(03-255)(용산역앞광장)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
589,서울 용산구 한강로3가 40-999,37.5297680649234,126.964300393659,용산역 버스정류장(03-255)(용산역앞광장) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
590,서울 용산구 한강로2가 423-5,37.5283412656539,126.965605603216,용산역광장앞(신용산지하차도방면) 버스정류장(03-258) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
591,서울 용산구 한강로1가 14-29,37.5363119152911,126.974639919866,삼각지역11번출구 버스정류장(03-328남영역방면)(용산역파출소옆) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
592,서울 용산구 서빙고동 235-115,37.5205092513606,126.990599680811,서빙고역 교차로 버스정류장(03-267/서빙고역건너편) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
593,서울 용산구 서빙고동 235-75,37.5201304039332,126.989806870289,서빙고역1번출구 버스정류장(03-157/서빙고역앞) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
594,서울 용산구 서빙고동 235-1,37.5214467495746,126.991877389115,서빙고초등학교앞버스정류장(03-268/GS편의점)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
595,서울 용산구 원효로4가 113-54,37.5317387481601,126.955097527477,원효대교 북단 버스정류장(03-331/삼구빌딩 건너편)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
596,서울 용산구 남영동 24-1,37.5443064717636,126.972553661172,숙대입구역 5번출구 마을버스정류장(03-565/하나은행숙대입구역지점앞) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
597,서울 용산구 갈월동 14-58,37.5465390552809,126.972159046239,갈월동 마을버스정류장(03-568/삼성디지탈서비스센터옆) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
598,서울 용산구 갈월동 69-109,37.5462493285732,126.971548092969,갈월동 4호선 숙대입구 버스정류장(03-327/여행박사앞) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
599,서울 용산구 갈월동 93-60,37.5421021470548,126.971665990478,남영역 횡단보도앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
600,서울 용산구 신창동 56-68,37.5356342739815,126.954988045081,신창제일교회 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
601,서울 용산구 원효로2가 96-1,37.5346190071297,126.961841771427,용산전자상가입구 버스정류장(03-250) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
602,서울 용산구 원효로1가 23-3,37.5385110285997,126.964941054918,용산 꿈나무 종합타운/보건분소 버스정류장(03-181) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
603,서울 용산구 한남동 533-2,37.5289519044176,127.006926021622,한남나들목(A) 출입구앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
604,서울 용산구 한남동 557-58,37.5286998242422,127.006574268018,한남나들목(B) 출입구앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
